"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64286/7931, ttl=128 (reply in 2)"
"2","0.033494","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64286/7931, ttl=50 (request in 1)"
"3","0.668641","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.196? Tell 10.180.8.49"
"4","0.668642","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.47? Tell 10.180.8.49"
"5","0.668642","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.24? Tell 10.180.8.49"
"6","0.668642","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.234? Tell 10.180.8.49"
"7","0.668642","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.53? Tell 10.180.8.49"
"8","1.003118","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64287/8187, ttl=128 (reply in 9)"
"9","1.046619","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64287/8187, ttl=51 (request in 8)"
"10","1.277770","10.180.8.50","159.65.139.183","TLSv1.2","92","Application Data"
"11","1.312681","159.65.139.183","10.180.8.50","TCP","60","443  >  57847 [ACK] Seq=1 Ack=39 Win=89 Len=0"
"12","1.491700","159.65.139.183","10.180.8.50","TLSv1.2","86","Application Data"
"13","1.543588","10.180.8.50","159.65.139.183","TCP","54","57847  >  443 [ACK] Seq=39 Ack=33 Win=253 Len=0"
"14","1.895056","fe80::e68d:8cff:fe1a:f879","ff02::1","ICMPv6","110","Router Advertisement from e4:8d:8c:1a:f8:79"
"15","2.006246","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64288/8443, ttl=128 (reply in 16)"
"16","2.041771","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64288/8443, ttl=51 (request in 15)"
"17","3.009380","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64289/8699, ttl=128 (reply in 18)"
"18","3.041850","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64289/8699, ttl=51 (request in 17)"
"19","3.738278","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.36? Tell 10.180.8.49"
"20","3.738278","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.2? Tell 10.180.8.49"
"21","3.738278","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.109? Tell 10.180.8.49"
"22","3.738279","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.154? Tell 10.180.8.49"
"23","3.738279","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.58? Tell 10.180.8.49"
"24","3.738279","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.61? Tell 10.180.8.49"
"25","3.738279","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.2? Tell 10.180.8.49"
"26","3.738279","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.57? Tell 10.180.8.49"
"27","3.738280","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.160? Tell 10.180.8.49"
"28","3.738280","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.29? Tell 10.180.8.49"
"29","3.738280","XiaomiCo_15:98:94","Broadcast","ARP","60","Who has 10.180.8.1? Tell 10.180.8.70"
"30","4.012502","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64290/8955, ttl=128 (reply in 31)"
"31","4.049469","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64290/8955, ttl=51 (request in 30)"
"32","5.015633","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64291/9211, ttl=128 (reply in 33)"
"33","5.053003","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64291/9211, ttl=51 (request in 32)"
"34","6.018782","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64292/9467, ttl=128 (reply in 35)"
"35","6.051515","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64292/9467, ttl=51 (request in 34)"
"36","6.672059","0a:00:27:00:00:11","Azurewav_44:a4:d3","ARP","60","Who has 10.180.8.50? Tell 10.180.8.49"
"37","6.672075","Azurewav_44:a4:d3","0a:00:27:00:00:11","ARP","42","10.180.8.50 is at 80:a5:89:44:a4:d3"
"38","6.706016","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.81? Tell 10.180.8.49"
"39","6.706017","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.56? Tell 10.180.8.49"
"40","6.706017","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.12.2? Tell 0.0.0.0"
"41","6.706017","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.9.252? Tell 10.180.8.49"
"42","6.706017","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.51? Tell 10.180.8.49"
"43","6.706017","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.254? Tell 10.180.8.49"
